0   Hardy       0       0       3       0       0       0
1   Lonely      2       0       0       1       0       0
2   Adamant     0       1       1       0       1       0
3   Naughty     0       1       0       1       0       1
4   Brave       2       0       0       0       0       0
5   Bold        4       0       0       0       0       0
6   Docile      0       0       0       0       0       0
7   Impish      0       1       0       1       0       0
8   Lax         0       0       1       0       0       0
9   Relaxed     2       0       1       0       1       0
10  Modest      0       0       0       1       1       0
11  Mild        0       0       0       1       0       0
12  Bashful     0       2       0       1       0       0
13  Rash        0       0       0       0       0       2
14  Quiet       0       0       2       0       0       0
15  Calm        0       0       1       0       2       0
16  Gentle      0       0       2       0       1       0
17  Careful     4       0       0       0       0       1
18  Quirky      0       1       0       0       2       0
19  Sassy       0       0       1       0       1       1
20  Timid       0       0       2       0       0       0
21  Hasty       0       0       0       0       0       3
22  Jolly       6       0       0       0       0       0
23  Naive       0       0       1       1       0       0
24  Serious     0       2       0       1       0       0
