0   Level_Ball      1   2   4   8   2
1   Lure_Ball       1   3   -1  -1  3
2   Moon_Ball       1   4   -1  -1  4
3   Friend_Ball     1   -1  -1  -1  5
4   Love_Ball       1   4   8   -1  6
5   Heavy_Ball      0.5 1   2   4   7
6   Fast_Ball       1   4   -1  -1  8
7   Repeat_Ball     1   3.5 -1  -1  9
8   Timer_Ball      1   1.5 2   4   10
9   Nest_Ball       1   2   4   8   11
10  Net_Ball        1   3.5 -1  -1  12
11  Dive_Ball       1   3.5 -1  -1  13
12  Luxury_Ball     1   -1  -1  -1  14
13  Heal_Ball       1   -1  -1  -1  15
14  Quick_Ball      1   5   -1  -1  16
15  Dusk_Ball       1   3.5 -1  -1  17
